num,"time","in_fuel","out_power"
3830,"10.02.2018 18:49","14,5377","286,678"
3840,"10.02.2018 18:59","14,5626","285,293"
3850,"10.02.2018 19:09","14,534","284,266"
3860,"10.02.2018 19:19","14,515","284,696"
3870,"10.02.2018 19:29","14,3757","285,532"
3880,"10.02.2018 19:39","14,61","284,959"
3890,"10.02.2018 19:49","14,5297","286,391"
3900,"10.02.2018 19:59","14,474","284,434"
3910,"10.02.2018 20:09","14,5052","286,678"
3920,"10.02.2018 20:19","14,5543","286,558"
3930,"10.02.2018 20:29","14,539","285,436"
3940,"10.02.2018 20:39","14,5447","284,887"
3950,"10.02.2018 20:49","14,5031","286,2"
3960,"10.02.2018 20:59","14,5805","286,009"
3970,"10.02.2018 21:09","14,4545","285,412"
3980,"10.02.2018 21:19","14,6127","285,436"
3990,"10.02.2018 21:29","14,5553","285,197"
4000,"10.02.2018 21:39","14,5563","286,558"
4010,"10.02.2018 21:49","14,4398","285,484"
4020,"10.02.2018 21:59","14,6529","286,176"
4030,"10.02.2018 22:09","14,529","285,197"
4040,"10.02.2018 22:19","14,5241","284,386"
4050,"10.02.2018 22:29","14,5182","285,484"
4060,"10.02.2018 22:39","14,5628","286,725"
4070,"10.02.2018 22:49","14,6086","286,51"
4080,"10.02.2018 22:59","14,5138","286,487"
4090,"10.02.2018 23:09","13,7619","271,233"
4100,"10.02.2018 23:19","13,1129","253,759"
4110,"10.02.2018 23:29","12,4848","237,096"
4120,"10.02.2018 23:39","11,7803","220,506"
4130,"10.02.2018 23:49","11,2284","203,366"
4140,"10.02.2018 23:59","10,486","188,518"
4150,"11.02.2018 0:09","10,7431","192,862"
4160,"11.02.2018 0:19","11,0172","200,334"
4170,"11.02.2018 0:29","11,2511","206,517"
4180,"11.02.2018 0:39","11,5587","212,127"
4190,"11.02.2018 0:49","11,6986","219,169"
4200,"11.02.2018 0:59","12,04","226,736"
4210,"11.02.2018 1:09","11,4014","210,742"
4220,"11.02.2018 1:19","10,7167","191,478"
4230,"11.02.2018 1:29","10,0666","175,341"
4240,"11.02.2018 1:39","9,34039","159,132"
4250,"11.02.2018 1:49","8,72435","138,579"
4260,"11.02.2018 1:59","8,0709","121,868"
4270,"11.02.2018 2:09","8,08854","119,696"
4280,"11.02.2018 2:19","8,05093","121,033"
4290,"11.02.2018 2:29","7,96999","119,505"
4300,"11.02.2018 2:39","8,0693","119,577"
4310,"11.02.2018 2:49","7,98753","119,529"
4320,"11.02.2018 2:59","8,01939","120,723"
4330,"11.02.2018 3:09","8,02338","119,792"
4340,"11.02.2018 3:19","8,10114","120,078"
4350,"11.02.2018 3:29","8,02013","119,792"
4360,"11.02.2018 3:39","7,96436","119,672"
4370,"11.02.2018 3:49","8,04752","119,935"
4380,"11.02.2018 3:59","8,05939","120,054"
4390,"11.02.2018 4:09","8,03326","119,672"
4400,"11.02.2018 4:19","8,05387","120,675"
4410,"11.02.2018 4:29","8,00464","120,317"
4420,"11.02.2018 4:39","8,05693","120,579"
4430,"11.02.2018 4:49","8,00863","119,577"
4440,"11.02.2018 4:59","8,01665","119,195"
4450,"11.02.2018 5:09","8,03996","120,794"
4460,"11.02.2018 5:19","7,99788","120,747"
4470,"11.02.2018 5:29","8,02722","120,436"
4480,"11.02.2018 5:39","7,98153","120,556"
4490,"11.02.2018 5:49","8,05484","119,672"
4500,"11.02.2018 5:59","8,03658","119,457"
4510,"11.02.2018 6:09","7,97826","119,577"
4520,"11.02.2018 6:19","7,99516","118,646"
4530,"11.02.2018 6:29","7,96366","118,694"
4540,"11.02.2018 6:39","7,97649","120,627"
4550,"11.02.2018 6:49","7,98673","119,481"
4560,"11.02.2018 6:59","8,06585","120,484"
